2024-11-12 10:35:28.381 [info] Extension host with pid 7805 started
2024-11-12 10:35:28.408 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-11-12 10:35:28.415 [info] ExtensionService#_doActivateExtension christian-kohler.path-intellisense, startup: true, activationEvent: '*'
2024-11-12 10:35:28.427 [info] ExtensionService#_doActivateExtension michelemelluso.code-beautifier, startup: true, activationEvent: '*'
2024-11-12 10:35:28.454 [info] ExtensionService#_doActivateExtension mtxr.sqltools, startup: true, activationEvent: '*'
2024-11-12 10:35:28.566 [info] ExtensionService#_doActivateExtension standard.vscode-standard, startup: true, activationEvent: '*'
2024-11-12 10:35:28.660 [info] ExtensionService#_doActivateExtension yatki.vscode-surround, startup: true, activationEvent: '*'
2024-11-12 10:35:28.732 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-11-12 10:35:28.879 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-11-12 10:35:29.086 [info] Eager extensions activated
2024-11-12 10:35:29.133 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-11-12 10:35:29.136 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-11-12 10:35:29.170 [info] ExtensionService#_doActivateExtension dbaeumer.vscode-eslint, startup: false, activationEvent: 'onStartupFinished'
2024-11-12 10:35:29.244 [info] ExtensionService#_doActivateExtension dsznajder.es7-react-js-snippets, startup: false, activationEvent: 'onStartupFinished'
2024-11-12 10:35:30.154 [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
2024-11-12 10:35:30.313 [info] ExtensionService#_doActivateExtension formulahendry.code-runner, startup: false, activationEvent: 'onStartupFinished'
2024-11-12 10:35:30.343 [info] ExtensionService#_doActivateExtension inferrinizzard.prettier-sql-vscode, startup: false, activationEvent: 'onStartupFinished'
2024-11-12 10:35:30.374 [info] ExtensionService#_doActivateExtension ms-vscode-remote.remote-containers, startup: false, activationEvent: 'onStartupFinished'
2024-11-12 10:35:30.771 [info] ExtensionService#_doActivateExtension rvest.vs-code-prettier-eslint, startup: false, activationEvent: 'onStartupFinished'
